Category|Descript
BURGLARY|BURGLARY OF RESIDENCE, UNLAWFUL ENTRY
WEAPON LAWS|POSS OF FIREARM BY CONVICTED FELON/ADDICT/ALIEN
TRESPASS|TRESPASSING
OTHER OFFENSES|RESISTING ARREST
ASSAULT|BATTERY
ASSAULT|INFLICT INJURY ON COHABITEE
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
LARCENY/THEFT|PETTY THEFT SHOPLIFTING
VEHICLE THEFT|STOLEN AUTOMOBILE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
SEX OFFENSES FORCIBLE|SEXUAL BATTERY
DRIVING UNDER THE INFLUENCE|DRIVING WHILE UNDER THE INFLUENCE OF DRUGS
VEHICLE THEFT|STOLEN TRUCK
LARCENY/THEFT|THEFT OF CHECKS OR CREDIT CARDS
RECOVERED VEHICLE|RECOVERED VEHICLE - STOLEN OUTSIDE SF
OTHER OFFENSES|HARASSING PHONE CALLS
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
NON-CRIMINAL|AIDED CASE -PROPERTY FOR DESTRUCTION
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
DRUG/NARCOTIC|POSSESSION OF HEROIN
WARRANTS|WARRANT ARREST
WARRANTS|ENROUTE TO DEPARTMENT OF CORRECTIONS
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
PROSTITUTION|SOLICITS TO VISIT HOUSE OF PROSTITUTION
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
NON-CRIMINAL|LOST PROPERTY
VEHICLE THEFT|STOLEN TRUCK
LARCENY/THEFT|GRAND THEFT OF PROPERTY
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
MISSING PERSON|MISSING JUVENILE
LARCENY/THEFT|PETTY THEFT SHOPLIFTING
BURGLARY|BURGLARY, HOT PROWL, UNLAWFUL ENTRY
VEHICLE THEFT|VEHICLE, RECOVERED, OTHER VEHICLE
OTHER OFFENSES|RESISTING ARREST
VEHICLE THEFT|STOLEN AUTOMOBILE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
ASSAULT|BATTERY
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
OTHER OFFENSES|PROBATION VIOLATION
OTHER OFFENSES|LOST/STOLEN LICENSE PLATE
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
FRAUD|CREDIT CARD, THEFT BY USE OF
LARCENY/THEFT|GRAND THEFT FROM UNLOCKED AUTO
LARCENY/THEFT|PETTY THEFT FROM A BUILDING
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
OTHER OFFENSES|VIOLATION OF PARK CODE
BAD CHECKS|CHECKS, NON-SUFFICIENT FUNDS (FELONY)
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
NON-CRIMINAL|FOUND PROPERTY
DRUG/NARCOTIC|MAINTAINING PREMISE WHERE NARCOTICS ARE SOLD/USED
NON-CRIMINAL|LOST PROPERTY
ROBBERY|ROBBERY OF A CHAIN STORE WITH BODILY FORCE
STOLEN PROPERTY|RECEIVING STOLEN PROPERTY
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
OTHER OFFENSES|MISCELLANEOUS INVESTIGATION
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
FRAUD|CREDIT CARD, THEFT BY USE OF
BURGLARY|BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
DRUG/NARCOTIC|SALE OF BASE/ROCK COCAINE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|THEFT OF ANIMALS (GENERAL)
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
LARCENY/THEFT|PETTY THEFT FROM A BUILDING
LARCENY/THEFT|GRAND THEFT FROM PERSON
LARCENY/THEFT|GRAND THEFT PICKPOCKET
DRUG/NARCOTIC|UNDER INFLUENCE OF DRUGS IN A PUBLIC PLACE
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
LARCENY/THEFT|ATTEMPTED GRAND THEFT PICKPOCKET
MISSING PERSON|MISSING ADULT
VEHICLE THEFT|STOLEN AUTOMOBILE
BURGLARY|BURGLARY, FORCIBLE ENTRY
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
OTHER OFFENSES|PROBATION VIOLATION
LARCENY/THEFT|PETTY THEFT FROM A BUILDING
VEHICLE THEFT|STOLEN AUTOMOBILE
LARCENY/THEFT|ATTEMPTED THEFT FROM LOCKED VEHICLE
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
ASSAULT|THREATS AGAINST LIFE
NON-CRIMINAL|LOST PROPERTY
OTHER OFFENSES|HARASSING PHONE CALLS
LARCENY/THEFT|PETTY THEFT FROM UNLOCKED AUTO
ASSAULT|BATTERY
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
ASSAULT|INFLICT INJURY ON COHABITEE
LARCENY/THEFT|GRAND THEFT FROM A BUILDING
ROBBERY|ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE
WARRANTS|WARRANT ARREST
VEHICLE THEFT|STOLEN AUTOMOBILE
BURGLARY|BURGLARY OF RESIDENCE, FORCIBLE ENTRY
SUSPICIOUS OCC|INVESTIGATIVE DETENTION
SUSPICIOUS OCC|SUSPICIOUS PERSON
NON-CRIMINAL|FOUND PROPERTY
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
ASSAULT|BATTERY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
OTHER OFFENSES|PAROLE VIOLATION
ROBBERY|ROBBERY, BODILY FORCE
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
WARRANTS|WARRANT ARREST
ASSAULT|BATTERY
OTHER OFFENSES|LOST/STOLEN LICENSE PLATE
VEHICLE THEFT|STOLEN TRUCK
MISSING PERSON|MISSING ADULT
ASSAULT|INFLICT INJURY ON COHABITEE
OTHER OFFENSES|PAROLE VIOLATION
OTHER OFFENSES|OBSCENE PHONE CALLS(S)
NON-CRIMINAL|AIDED CASE
NON-CRIMINAL|STAY AWAY OR COURT ORDER, NON-DV RELATED
WARRANTS|WARRANT ARREST
LARCENY/THEFT|PETTY THEFT WITH PRIOR
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
LARCENY/THEFT|PETTY THEFT OF PROPERTY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
SECONDARY CODES|DOMESTIC VIOLENCE
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
OTHER OFFENSES|TRAFFIC VIOLATION
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
BURGLARY|BURGLARY OF RESIDENCE, UNLAWFUL ENTRY
SECONDARY CODES|DOMESTIC VIOLENCE
PROSTITUTION|SOLICITS FOR ACT OF PROSTITUTION
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
KIDNAPPING|KIDNAPPING, ADULT VICTIM
BURGLARY|BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY
SEX OFFENSES FORCIBLE|ANNOY OR MOLEST CHILDREN
DRUG/NARCOTIC|PLANTING/CULTIVATING MARIJUANA
OTHER OFFENSES|MISCELLANEOUS INVESTIGATION
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
NON-CRIMINAL|LOST PROPERTY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
ASSAULT|BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP
OTHER OFFENSES|RESISTING ARREST
OTHER OFFENSES|FALSE EVIDENCE OF VEHICLE REGISTRATION
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
SUSPICIOUS OCC|INVESTIGATIVE DETENTION
OTHER OFFENSES|TRAFFIC VIOLATION
LARCENY/THEFT|PETTY THEFT WITH PRIOR
LARCENY/THEFT|PETTY THEFT OF PROPERTY
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
VEHICLE THEFT|STOLEN AUTOMOBILE
NON-CRIMINAL|STAY AWAY OR COURT ORDER, NON-DV RELATED
SEX OFFENSES FORCIBLE|SEXUAL BATTERY
OTHER OFFENSES|TRAFFIC VIOLATION
MISSING PERSON|MISSING JUVENILE
LARCENY/THEFT|PETTY THEFT FROM UNLOCKED AUTO
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
NON-CRIMINAL|LOST PROPERTY
ASSAULT|THREATS AGAINST LIFE
VEHICLE THEFT|STOLEN AUTOMOBILE
NON-CRIMINAL|CIVIL SIDEWALKS, CITATION
ASSAULT|BATTERY OF A POLICE OFFICER
BURGLARY|BURGLARY,HOTEL UNDER CONSTRUCTION, UNLAWFUL ENTRY
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
ROBBERY|ROBBERY, BODILY FORCE
LARCENY/THEFT|LOST PROPERTY, PETTY THEFT
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
ASSAULT|THREATS AGAINST LIFE
DISORDERLY CONDUCT|DISTURBING THE PEACE
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
OTHER OFFENSES|RESISTING ARREST
OTHER OFFENSES|HARASSING PHONE CALLS
WARRANTS|WARRANT ARREST
LARCENY/THEFT|GRAND THEFT FROM UNLOCKED AUTO
LARCENY/THEFT|LOST PROPERTY, PETTY THEFT
ASSAULT|INFLICT INJURY ON COHABITEE
WARRANTS|WARRANT ARREST
DISORDERLY CONDUCT|COMMITTING PUBLIC NUISANCE
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
LARCENY/THEFT|PETTY THEFT SHOPLIFTING
TRESPASS|TRESPASSING
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
WARRANTS|WARRANT ARREST
OTHER OFFENSES|RESISTING ARREST
ASSAULT|AGGRAVATED ASSAULT WITH BODILY FORCE
LARCENY/THEFT|GRAND THEFT FROM A BUILDING
OTHER OFFENSES|MISCELLANEOUS INVESTIGATION
SUSPICIOUS OCC|INVESTIGATIVE DETENTION
LARCENY/THEFT|PETTY THEFT WITH PRIOR
ASSAULT|BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP
FRAUD|CREDIT CARD, THEFT BY USE OF
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
VEHICLE THEFT|STOLEN AUTOMOBILE
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
NON-CRIMINAL|FOUND PROPERTY
BURGLARY|BURGLARY, FORCIBLE ENTRY
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
FRAUD|CREDIT CARD, THEFT BY USE OF
OTHER OFFENSES|OBSTRUCTIONS ON STREETS/SIDEWALKS
NON-CRIMINAL|LOST PROPERTY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
WARRANTS|WARRANT ARREST
ASSAULT|BATTERY
LARCENY/THEFT|PETTY THEFT WITH PRIOR
ASSAULT|INFLICT INJURY ON COHABITEE
BURGLARY|BURGLARY,BLDG. UNDER CONSTRUCTION, UNLAWFUL ENTRY
MISSING PERSON|FOUND PERSON
WARRANTS|WARRANT ARREST
OTHER OFFENSES|FRAUDULENT GAME OR TRICK, OBTAINING MONEY OR PROPERTY
WEAPON LAWS|POSS OF PROHIBITED WEAPON
WEAPON LAWS|CARRYING A CONCEALED WEAPON
FRAUD|CREDIT CARD, THEFT BY USE OF
RECOVERED VEHICLE|RECOVERED VEHICLE - STOLEN OUTSIDE SF
ASSAULT|BATTERY
VEHICLE THEFT|STOLEN AUTOMOBILE
ASSAULT|ATTEMPTED HOMICIDE WITH A GUN
MISSING PERSON|MISSING JUVENILE
NON-CRIMINAL|LOST PROPERTY
OTHER OFFENSES|TRAFFIC VIOLATION
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
SECONDARY CODES|DOMESTIC VIOLENCE
SEX OFFENSES FORCIBLE|CHILD ABUSE, PORNOGRAPHY
MISSING PERSON|MISSING JUVENILE
FRAUD|CREDIT CARD, THEFT BY USE OF
OTHER OFFENSES|INDECENT EXPOSURE WITH PRIOR CONVICTION
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
OTHER OFFENSES|MISCELLANEOUS INVESTIGATION
LARCENY/THEFT|GRAND THEFT PICKPOCKET
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
BURGLARY|BURGLARY OF RESIDENCE, UNLAWFUL ENTRY
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
VEHICLE THEFT|STOLEN AUTOMOBILE
STOLEN PROPERTY|RECEIVING STOLEN PROPERTY
OTHER OFFENSES|HARASSING PHONE CALLS
ASSAULT|BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP
BURGLARY|BURGLARY, FORCIBLE ENTRY
NON-CRIMINAL|LOST PROPERTY
PROSTITUTION|INDECENT EXPOSURE - PROSTITUTION RELATED
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
FRAUD|CREDIT CARD, THEFT BY USE OF
LARCENY/THEFT|PETTY THEFT FROM A BUILDING
NON-CRIMINAL|LOST PROPERTY
DISORDERLY CONDUCT|COMMITTING PUBLIC NUISANCE
LARCENY/THEFT|GRAND THEFT FROM A BUILDING
NON-CRIMINAL|AIDED CASE -PROPERTY FOR DESTRUCTION
VEHICLE THEFT|STOLEN AUTOMOBILE
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
ASSAULT|INFLICT INJURY ON COHABITEE
ASSAULT|BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP
OTHER OFFENSES|LOST/STOLEN LICENSE PLATE
DRIVING UNDER THE INFLUENCE|DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL
OTHER OFFENSES|OBSCENE PHONE CALLS(S)
OTHER OFFENSES|POSSESSION OF BURGLARY TOOLS
LARCENY/THEFT|GRAND THEFT FROM A BUILDING
MISSING PERSON|FOUND PERSON
VEHICLE THEFT|STOLEN AUTOMOBILE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
OTHER OFFENSES|DANGER OF LEADING IMMORAL LIFE
LARCENY/THEFT|PETTY THEFT FROM A BUILDING
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
NON-CRIMINAL|FOUND PROPERTY
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
OTHER OFFENSES|TRAFFIC VIOLATION
LARCENY/THEFT|PETTY THEFT FROM A BUILDING
FORGERY/COUNTERFEITING|FORGERY, DRIVERS LICENSE OR ID-CARD
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
FRAUD|FRAUDULENT USE OF AUTOMATED TELLER CARD
VEHICLE THEFT|VEHICLE, RECOVERED, OTHER VEHICLE
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
ASSAULT|THREATS AGAINST LIFE
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
OTHER OFFENSES|MISCELLANEOUS STATE MISDEMEANOR
ASSAULT|THREATS AGAINST LIFE
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
STOLEN PROPERTY|STOLEN CHECKS, POSSESSION
LARCENY/THEFT|PETTY THEFT SHOPLIFTING
OTHER OFFENSES|VIOLATION OF RESTRAINING ORDER
ASSAULT|AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE
ROBBERY|ROBBERY ON THE STREET, STRONGARM
OTHER OFFENSES|FALSE FIRE ALARM
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
LARCENY/THEFT|PETTY THEFT WITH PRIOR
BURGLARY|BURGLARY OF RESIDENCE, UNLAWFUL ENTRY
ROBBERY|ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
SECONDARY CODES|PREJUDICE-BASED INCIDENT
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
NON-CRIMINAL|LOST PROPERTY
NON-CRIMINAL|LOST PROPERTY
BURGLARY|BURGLARY, VEHICLE (ARREST MADE)
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
VANDALISM|MALICIOUS MISCHIEF, BREAKING WINDOWS
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
BURGLARY|BURGLARY, FORCIBLE ENTRY
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
TRESPASS|TRESPASSING
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
ASSAULT|BATTERY
OTHER OFFENSES|MISCELLANEOUS INVESTIGATION
DRIVING UNDER THE INFLUENCE|DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL
FORGERY/COUNTERFEITING|CHECKS, MAKE OR PASS FICTITIOUS
DRUG/NARCOTIC|SALE OF BASE/ROCK COCAINE
WARRANTS|WARRANT ARREST
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
NON-CRIMINAL|TARASOFF REPORT
BURGLARY|BURGLARY, ATTEMPTED FORCIBLE ENTRY
FORGERY/COUNTERFEITING|CHECKS, MAKE OR PASS FICTITIOUS
NON-CRIMINAL|LOST PROPERTY
WEAPON LAWS|EXHIBITING DEADLY WEAPON IN A THREATING MANNER
DRUG/NARCOTIC|POSSESSION OF CONTROLLED SUBSTANCE FOR SALE
VEHICLE THEFT|STOLEN AUTOMOBILE
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
LARCENY/THEFT|PETTY THEFT SHOPLIFTING
MISSING PERSON|FOUND PERSON
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
BURGLARY|BURGLARY OF APARTMENT HOUSE, ATT FORCIBLE ENTRY
OTHER OFFENSES|TRAFFIC VIOLATION
TRESPASS|TRESPASSING
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LOITERING|BEGGING
OTHER OFFENSES|RESISTING ARREST
LARCENY/THEFT|GRAND THEFT FROM UNLOCKED AUTO
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
DRUG/NARCOTIC|POSSESSION OF METH-AMPHETAMINE FOR SALE
NON-CRIMINAL|LOST PROPERTY
NON-CRIMINAL|FOUND PROPERTY
OTHER OFFENSES|TRAFFIC VIOLATION ARREST
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
FORGERY/COUNTERFEITING|CHECKS, MAKE OR PASS FICTITIOUS
WEAPON LAWS|POSS OF DEADLY WEAPON WITH INTENT TO ASSAULT
VEHICLE THEFT|STOLEN TRUCK
TRESPASS|TRESPASSING
ASSAULT|INFLICT INJURY ON COHABITEE
NON-CRIMINAL|LOST PROPERTY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT FROM PERSON
VEHICLE THEFT|STOLEN AUTOMOBILE
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
WARRANTS|ENROUTE TO PAROLE OFFICER
OTHER OFFENSES|VIOLATION OF MUNICIPAL CODE
LARCENY/THEFT|GRAND THEFT FROM A BUILDING
LARCENY/THEFT|GRAND THEFT PICKPOCKET
ASSAULT|AGGRAVATED ASSAULT WITH BODILY FORCE
NON-CRIMINAL|LOST PROPERTY
WEAPON LAWS|POSS OF FIREARM BY CONVICTED FELON/ADDICT/ALIEN
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
LARCENY/THEFT|PETTY THEFT WITH PRIOR
ARSON|ARSON OF A VEHICLE
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
NON-CRIMINAL|LOST PROPERTY
LARCENY/THEFT|PETTY THEFT FROM A BUILDING
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
FRAUD|CREDIT CARD, THEFT BY USE OF
BURGLARY|BURGLARY, VEHICLE, ATT. (ARREST MADE)
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
OTHER OFFENSES|TRAFFIC VIOLATION
OTHER OFFENSES|TRAFFIC COLLISION, HIT & RUN, PROPERTY DAMAGE
NON-CRIMINAL|SHELTER
NON-CRIMINAL|LOST PROPERTY
FORGERY/COUNTERFEITING|FORGERY, DRIVERS LICENSE OR ID-CARD
FORGERY/COUNTERFEITING|CHECKS, FORGERY (MISDEMEANOR)
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
VEHICLE THEFT|STOLEN AUTOMOBILE
NON-CRIMINAL|DEATH REPORT, NATURAL CAUSES
ROBBERY|ROBBERY, BODILY FORCE
OTHER OFFENSES|MISCELLANEOUS INVESTIGATION
TRESPASS|TRESPASSING
MISSING PERSON|MISSING JUVENILE
ASSAULT|INFLICT INJURY ON COHABITEE
LARCENY/THEFT|GRAND THEFT OF PROPERTY
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
SECONDARY CODES|GANG ACTIVITY
ASSAULT|BATTERY OF A POLICE OFFICER
RECOVERED VEHICLE|RECOVERED VEHICLE - STOLEN OUTSIDE SF
ASSAULT|BATTERY
DRUG/NARCOTIC|POSSESSION OF MARIJUANA
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
BURGLARY|BURGLARY OF RESIDENCE, UNLAWFUL ENTRY
DRUG/NARCOTIC|SALE OF BASE/ROCK COCAINE
VANDALISM|MALICIOUS MISCHIEF, BREAKING WINDOWS
VEHICLE THEFT|VEHICLE, RECOVERED, OTHER VEHICLE
STOLEN PROPERTY|STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING
OTHER OFFENSES|PEDDLING WITHOUT A LICENSE
ASSAULT|THREATS AGAINST LIFE
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
OTHER OFFENSES|VIOLATION OF RESTRAINING ORDER
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
WARRANTS|WARRANT ARREST
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
ASSAULT|INFLICT INJURY ON COHABITEE
WARRANTS|WARRANT ARREST
VEHICLE THEFT|VEHICLE, RECOVERED, OTHER VEHICLE
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
WARRANTS|WARRANT ARREST
LARCENY/THEFT|PETTY THEFT WITH PRIOR
OTHER OFFENSES|TRAFFIC VIOLATION ARREST
STOLEN PROPERTY|RECEIVING STOLEN PROPERTY
NON-CRIMINAL|FOUND PROPERTY
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
OTHER OFFENSES|DANGER OF LEADING IMMORAL LIFE
MISSING PERSON|FOUND PERSON
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
FRAUD|CREDIT CARD, THEFT BY USE OF
OTHER OFFENSES|TRAFFIC VIOLATION
OTHER OFFENSES|MISCELLANEOUS STATE MISDEMEANOR
ROBBERY|ROBBERY, BODILY FORCE
SECONDARY CODES|DOMESTIC VIOLENCE
PROSTITUTION|SOLICITS FOR ACT OF PROSTITUTION
ASSAULT|FALSE IMPRISONMENT
BURGLARY|BURGLARY OF STORE, FORCIBLE ENTRY
OTHER OFFENSES|VIOLATION OF MUNICIPAL POLICE CODE
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
LARCENY/THEFT|PETTY THEFT OF PROPERTY
OTHER OFFENSES|LOST/STOLEN LICENSE PLATE
MISSING PERSON|FOUND PERSON
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
OTHER OFFENSES|RESISTING ARREST
MISSING PERSON|MISSING ADULT
OTHER OFFENSES|OBSCENE PHONE CALLS(S)
PORNOGRAPHY/OBSCENE MAT|POSSESSION OF OBSCENE MATTER FOR SALE
OTHER OFFENSES|RESISTING ARREST
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
ASSAULT|THREATS AGAINST LIFE
RECOVERED VEHICLE|RECOVERED VEHICLE - STOLEN OUTSIDE SF
STOLEN PROPERTY|STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING
MISSING PERSON|FOUND PERSON
NON-CRIMINAL|FOUND PROPERTY
WARRANTS|WARRANT ARREST
VANDALISM|MALICIOUS MISCHIEF, GRAFFITI
OTHER OFFENSES|TRAFFIC VIOLATION ARREST
BURGLARY|BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY
NON-CRIMINAL|DEATH REPORT, CAUSE UNKNOWN
ASSAULT|THREATS AGAINST LIFE
DRUG/NARCOTIC|POSSESSION OF MARIJUANA FOR SALES
ASSAULT|BATTERY
ASSAULT|THREATS AGAINST LIFE
ASSAULT|ASSAULT ON A POLICE OFFICER WITH A DEADLY WEAPON
SECONDARY CODES|DOMESTIC VIOLENCE
ASSAULT|THREATS AGAINST LIFE
ASSAULT|BATTERY
NON-CRIMINAL|LOST PROPERTY
OTHER OFFENSES|LOST/STOLEN LICENSE PLATE
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
WARRANTS|WARRANT ARREST
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
OTHER OFFENSES|TRAFFIC VIOLATION
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
VEHICLE THEFT|STOLEN AUTOMOBILE
OTHER OFFENSES|TRAFFIC VIOLATION
LARCENY/THEFT|PETTY THEFT OF PROPERTY
ROBBERY|ROBBERY ON THE STREET WITH A GUN
FORGERY/COUNTERFEITING|CHECKS, FORGERY (FELONY)
ASSAULT|INFLICT INJURY ON COHABITEE
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT PICKPOCKET
OTHER OFFENSES|MISCELLANEOUS INVESTIGATION
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
TRESPASS|TRESPASSING
LARCENY/THEFT|GRAND THEFT BICYCLE
WARRANTS|WARRANT ARREST
ASSAULT|AGGRAVATED ASSAULT WITH A DEADLY WEAPON
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
FORGERY/COUNTERFEITING|FORGERY, DRIVERS LICENSE OR ID-CARD
MISSING PERSON|MISSING JUVENILE
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT FROM PERSON
